ticker,first_date,last_date,n_days,n_months
FZCM,"(2013, 12, 2)","(2026, 8, 3)",151,151
GADT,"(2013, 12, 2)","(2026, 8, 3)",153,153
GAIL,"(2013, 12, 2)","(2021, 10, 29)",95,95
GAL,"(2023, 5, 19)","(2026, 8, 3)",40,40
GAMON,"(2013, 12, 5)","(2026, 8, 3)",153,153
GASF,"(2013, 12, 2)","(2019, 11, 13)",72,72
GATI,"(2013, 12, 2)","(2026, 8, 3)",150,150
GATM,"(2013, 12, 2)","(2026, 8, 3)",153,153
GCIL,"(2022, 11, 14)","(2026, 8, 3)",46,46
GCILB,"(2022, 11, 25)","(2023, 5, 8)",7,7
GCWL,"(2025, 4, 24)","(2026, 8, 3)",17,17
GDL,"(2026, 2, 19)","(2026, 8, 3)",7,7
GEMBCEM,"(2024, 10, 11)","(2026, 7, 30)",22,22
GEMBLUEX,"(2024, 1, 25)","(2025, 12, 26)",24,24
GEMMEL,"(2024, 6, 13)","(2026, 8, 3)",27,27
GEMNETS,"(2025, 5, 26)","(2026, 7, 30)",15,15
GEMPACRA,"(2025, 6, 30)","(2026, 7, 31)",14,14
GEMPAPL,"(2021, 11, 26)","(2026, 8, 3)",58,58
GEMSPNL,"(2022, 4, 28)","(2026, 3, 19)",47,47
GEMUNSL,"(2021, 12, 6)","(2024, 1, 4)",21,21
GFIL,"(2013, 12, 3)","(2026, 8, 3)",153,153
GGGL,"(2015, 5, 27)","(2026, 8, 3)",136,136
GGL,"(2013, 12, 2)","(2026, 8, 3)",153,153
GHGL,"(2013, 12, 2)","(2026, 8, 3)",153,153
GHNI,"(2013, 12, 2)","(2026, 8, 3)",153,153
GHNL,"(2013, 12, 2)","(2023, 5, 16)",114,114
GIL,"(2017, 3, 22)","(2026, 7, 30)",15,15
GLAT,"(2013, 12, 2)","(2018, 4, 20)",50,50
GLAXO,"(2013, 12, 2)","(2026, 8, 3)",153,153
GLOT,"(2021, 10, 25)","(2021, 10, 29)",1,1
GLPL,"(2013, 12, 2)","(2026, 5, 18)",139,139
GOC,"(2016, 6, 8)","(2026, 8, 3)",119,119
GRYL,"(2013, 12, 2)","(2026, 8, 3)",153,153
GSKCH,"(2017, 3, 22)","(2023, 1, 30)",71,71
GSPM,"(2013, 12, 2)","(2026, 8, 3)",55,55
GTECH,"(2021, 11, 22)","(2022, 11, 2)",13,13
GUSM,"(2013, 12, 2)","(2026, 8, 3)",55,55
GUTM,"(2013, 12, 4)","(2021, 10, 29)",3,3
GVGL,"(2013, 12, 4)","(2026, 8, 3)",153,153
GWLC,"(2013, 12, 2)","(2026, 8, 3)",153,153
HABSM,"(2013, 12, 2)","(2026, 8, 3)",153,153
HACC,"(2021, 10, 25)","(2022, 8, 5)",3,3
HADC,"(2013, 12, 2)","(2021, 10, 29)",48,48
HAEL,"(2013, 12, 3)","(2026, 8, 3)",145,145
HAFL,"(2013, 12, 24)","(2026, 8, 3)",74,74
HAJT,"(2021, 10, 25)","(2021, 10, 29)",1,1
HAL,"(2013, 12, 5)","(2020, 3, 5)",76,76
HALEON,"(2023, 1, 31)","(2026, 8, 3)",44,44
HASCOL,"(2014, 5, 14)","(2026, 8, 3)",148,148
HATM,"(2021, 10, 25)","(2021, 10, 29)",1,1
HBL,"(2013, 12, 2)","(2026, 8, 3)",153,153
HCL,"(2019, 6, 13)","(2025, 1, 15)",48,48
HGFA,"(2018, 7, 3)","(2026, 8, 3)",98,98
HICL,"(2013, 12, 2)","(2026, 8, 3)",153,153
HIFA,"(2018, 7, 3)","(2026, 8, 3)",98,98
HINO,"(2013, 12, 2)","(2026, 8, 3)",153,153
HINOON,"(2013, 12, 2)","(2026, 8, 3)",153,153
HIRAT,"(2013, 12, 2)","(2026, 8, 3)",152,152
HKKT,"(2021, 10, 25)","(2021, 10, 29)",1,1
HMB,"(2013, 12, 2)","(2026, 8, 3)",153,153
HMIM,"(2013, 12, 2)","(2021, 10, 29)",50,50
HMM,"(2017, 10, 6)","(2023, 3, 7)",66,66
HPL,"(2023, 11, 2)","(2026, 8, 3)",34,34
HRPL,"(2020, 3, 11)","(2026, 8, 3)",78,78
HSM,"(2016, 8, 1)","(2022, 7, 29)",72,72
HSPI,"(2013, 12, 2)","(2024, 11, 15)",94,94
HTL,"(2016, 3, 3)","(2026, 8, 3)",126,126
HUBC,"(2013, 12, 2)","(2026, 8, 3)",153,153
HUMNL,"(2013, 12, 2)","(2026, 8, 3)",153,153
HUSI,"(2013, 12, 5)","(2026, 8, 3)",62,62
HWQS,"(2013, 12, 2)","(2026, 8, 3)",117,117
IBFL,"(2013, 12, 2)","(2026, 8, 3)",153,153
IBLHL,"(2013, 12, 2)","(2026, 8, 3)",153,153
ICCI,"(2021, 10, 25)","(2026, 8, 3)",28,28
ICCT,"(2013, 12, 2)","(2016, 3, 14)",28,28
ICI,"(2013, 12, 2)","(2023, 1, 12)",110,110
ICIBL,"(2013, 12, 2)","(2026, 8, 3)",153,153
ICL,"(2013, 12, 2)","(2026, 8, 3)",153,153
IDEAL,"(2026, 7, 17)","(2026, 8, 3)",2,2
IDRT,"(2013, 12, 2)","(2026, 8, 3)",141,141
IDSM,"(2013, 12, 3)","(2026, 7, 16)",140,140
IDYM,"(2013, 12, 2)","(2026, 8, 3)",148,148
IFSL,"(2013, 12, 2)","(2017, 5, 26)",42,42
IGIBL,"(2013, 12, 2)","(2018, 1, 17)",50,50
IGIHL,"(2018, 4, 19)","(2026, 8, 3)",101,101
IGIIL,"(2013, 12, 2)","(2018, 4, 18)",53,53
