ticker,year,month,volume_shares
CENI,2023,11,81500.0
CENI,2023,12,240000.0
CENI,2024,1,33500.0
CENI,2024,2,26500.0
CENI,2024,3,309500.0
CENI,2024,4,319500.0
CENI,2024,5,123574.0
CENI,2024,6,145486.0
CENI,2024,7,222919.0
CENI,2024,8,142673.0
CENI,2024,9,54426.0
CENI,2024,10,135074.0
CENI,2024,11,177282.0
CENI,2024,12,159394.0
CENI,2025,1,63725.0
CENI,2025,2,391074.0
CENI,2025,3,240617.0
CENI,2025,4,338681.0
CENI,2025,5,147543.0
CENI,2025,6,69225.0
CENI,2025,7,241569.0
CENI,2025,8,79028.0
CENI,2025,9,67512.0
CENI,2025,10,88710.0
CENI,2025,11,53274.0
CENI,2025,12,103905.0
CENI,2026,1,46933.0
CENI,2026,2,110268.0
CENI,2026,3,125284.0
CENI,2026,4,478581.0
CENI,2026,5,167842.0
CENI,2026,6,66254.0
CENI,2026,7,99973.0
CENI,2026,8,1651.0
CEPB,2013,12,8517500.0
CEPB,2014,1,11598500.0
CEPB,2014,2,8868000.0
CEPB,2014,3,4116500.0
CEPB,2014,4,10605000.0
CEPB,2014,5,6896000.0
CEPB,2014,6,3035500.0
CEPB,2014,7,903000.0
CEPB,2014,8,1620500.0
CEPB,2014,9,2488000.0
CEPB,2014,10,4850000.0
CEPB,2014,11,3599500.0
CEPB,2014,12,6657500.0
CEPB,2015,1,8516500.0
CEPB,2015,2,3298500.0
CEPB,2015,3,2000500.0
CEPB,2015,4,917500.0
CEPB,2015,5,2795000.0
CEPB,2015,6,6440000.0
CEPB,2015,7,18093500.0
CEPB,2015,8,6003500.0
CEPB,2015,9,2409000.0
CEPB,2015,10,872000.0
CEPB,2015,11,643500.0
CEPB,2015,12,970000.0
CEPB,2016,1,848000.0
CEPB,2016,2,372500.0
CEPB,2016,3,1423000.0
CEPB,2016,4,1929500.0
CEPB,2016,5,14535000.0
CEPB,2016,6,2479000.0
CEPB,2016,7,1062500.0
CEPB,2016,8,5855500.0
CEPB,2016,9,11337000.0
CEPB,2016,10,5733500.0
CEPB,2016,11,9956000.0
CEPB,2016,12,3430000.0
CEPB,2017,1,5581000.0
CEPB,2017,2,6892000.0
CEPB,2017,3,1574000.0
CEPB,2017,4,7826000.0
CEPB,2017,5,16694500.0
CEPB,2017,6,7263500.0
CEPB,2017,7,3571800.0
CEPB,2017,8,2793600.0
CEPB,2017,9,270200.0
CEPB,2017,10,877400.0
CEPB,2017,11,129200.0
CEPB,2017,12,1026500.0
CEPB,2018,1,620500.0
CEPB,2018,2,1325500.0
CEPB,2018,3,2510500.0
CEPB,2018,4,5076000.0
CEPB,2018,5,972000.0
CEPB,2018,6,823500.0
CEPB,2018,7,1325000.0
CEPB,2018,8,6889000.0
CEPB,2018,9,588500.0
CEPB,2018,10,817500.0
CEPB,2018,11,684000.0
CEPB,2018,12,713500.0
CEPB,2019,1,563000.0
CEPB,2019,2,866000.0
CEPB,2019,3,704000.0
CEPB,2019,4,598000.0
CEPB,2019,5,708500.0
CEPB,2019,6,785000.0
CEPB,2019,7,1620000.0
CEPB,2019,8,3675000.0
CEPB,2019,9,1588000.0
CEPB,2019,10,2108000.0
CEPB,2019,11,2430500.0
CEPB,2019,12,2169500.0
CEPB,2020,1,2750500.0
CEPB,2020,2,1405500.0
CEPB,2020,3,3379500.0
CEPB,2020,4,4622500.0
CEPB,2020,5,4668000.0
CEPB,2020,6,8365500.0
CEPB,2020,7,9127000.0
CEPB,2020,8,13867000.0
CEPB,2020,9,9665500.0
CEPB,2020,10,14956500.0
CEPB,2020,11,7223000.0
CEPB,2020,12,11762000.0
CEPB,2021,1,6295600.0
CEPB,2021,2,6871200.0
CEPB,2021,3,6683500.0
CEPB,2021,4,5175400.0
CEPB,2021,5,3752200.0
CEPB,2021,6,8945100.0
CEPB,2021,7,5078600.0
CEPB,2021,8,4317300.0
CEPB,2021,9,6095200.0
CEPB,2021,10,1991500.0
CEPB,2021,11,2202900.0
CEPB,2021,12,2463300.0
CEPB,2022,1,1259500.0
CEPB,2022,2,2350500.0
CEPB,2022,3,1038000.0
CEPB,2022,4,2002500.0
CEPB,2022,5,1288500.0
CEPB,2022,6,1806500.0
CEPB,2022,7,377000.0
CEPB,2022,8,2977500.0
CEPB,2022,9,2426500.0
CEPB,2022,10,970000.0
CEPB,2022,11,496000.0
CEPB,2022,12,992000.0
CEPB,2023,1,1032000.0
CEPB,2023,2,1774500.0
CEPB,2023,3,3645000.0
CEPB,2023,4,171000.0
CEPB,2023,5,1730000.0
CEPB,2023,6,5155500.0
CEPB,2023,7,6269500.0
CEPB,2023,8,3145500.0
CEPB,2023,9,3256000.0
CEPB,2023,10,6083000.0
CEPB,2023,11,39345500.0
CEPB,2023,12,23365500.0
CEPB,2024,1,10339000.0
CEPB,2024,2,6549000.0
CEPB,2024,3,16434500.0
CEPB,2024,4,13752000.0
CEPB,2024,5,24438096.0
CEPB,2024,6,5578325.0
CEPB,2024,7,7708853.0
CEPB,2024,8,11891881.0
CEPB,2024,9,5881253.0
CEPB,2024,10,8562721.0
CEPB,2024,11,20188842.0
CEPB,2024,12,25795679.0
CEPB,2025,1,8947414.0
CEPB,2025,2,5982180.0
CEPB,2025,3,4335443.0
CEPB,2025,4,6993393.0
CEPB,2025,5,15887508.0
CEPB,2025,6,29119270.0
CEPB,2025,7,24951785.0
CEPB,2025,8,8536251.0
CEPB,2025,9,10856067.0
CEPB,2025,10,47204758.0
CEPB,2025,11,74458117.0
CEPB,2025,12,54305559.0
CEPB,2026,1,69771747.0
CEPB,2026,2,15888026.0
CEPB,2026,3,10151360.0
CEPB,2026,4,15359115.0
CEPB,2026,5,10986206.0
CEPB,2026,6,13241606.0
CEPB,2026,7,37496367.0
CEPB,2026,8,548482.0
CFL,2013,12,90000.0
CFL,2014,1,88000.0
CFL,2014,2,33000.0
CFL,2014,3,51000.0
CFL,2014,4,26000.0
CFL,2014,5,7000.0
CFL,2014,6,10000.0
CFL,2014,7,3000.0
CFL,2014,8,10000.0
CFL,2014,9,9500.0
CFL,2014,10,20000.0
CFL,2014,11,12500.0
CFL,2014,12,4500.0
CFL,2015,1,12500.0
CFL,2015,2,16500.0
CFL,2015,3,49500.0
CFL,2015,4,14500.0
CFL,2015,5,10500.0
CFL,2015,6,67500.0
CFL,2015,7,5500.0
CFL,2015,8,66500.0
CFL,2015,9,52000.0
CFL,2015,10,102000.0
CFL,2015,11,41000.0
CFL,2015,12,155000.0
CFL,2016,1,6000.0
CFL,2016,3,15000.0
CFL,2016,4,38000.0
CFL,2016,5,13500.0
CFL,2016,6,500.0
CFL,2016,9,1500.0
CFL,2016,10,35500.0
CFL,2016,11,20000.0
CFL,2016,12,1500.0
CFL,2017,1,8500.0
CFL,2017,2,152500.0
CFL,2017,3,6000.0
CFL,2017,4,4000.0
CFL,2017,5,16500.0
CFL,2017,6,2000.0
CFL,2017,7,2500.0
CFL,2017,8,6000.0
CFL,2017,9,4500.0
CFL,2017,10,66000.0
CFL,2017,11,60500.0
CFL,2017,12,11000.0
CFL,2018,1,500.0
