ticker,year,month,ret_monthly,n_days,first_close,last_close
AHL,2015,3,-0.0648525338113084,21,61.37,57.39,2305500.0
AHL,2015,4,0.04443282801881865,22,57.39,59.94,2758000.0
AHL,2015,5,0.0562228895562229,18,59.94,63.31,3030000.0
AHL,2015,6,0.09951034591691665,21,63.31,69.61,6544000.0
AHL,2015,7,0.13776756213187769,20,69.61,79.2,9459000.0
AHL,2015,8,-0.084090909090909,20,79.2,72.54,5288000.0
AHL,2015,9,-0.14460987041632212,20,72.54,62.05,5892000.0
AHL,2015,10,0.018211120064464126,21,62.05,63.18,3255500.0
AHL,2015,11,-0.07185818296929403,21,63.18,58.64,4221000.0
AHL,2015,12,0.13011596180081852,20,58.64,66.27,10007500.0
AHL,2016,1,-0.09295307077108794,19,66.27,60.11,7778500.0
AHL,2016,2,-0.16702711695225414,19,60.11,50.07,5700500.0
AHL,2016,3,-0.0007988815658078741,22,50.07,50.03,981500.0
AHL,2016,4,-0.0967419548271038,20,50.03,45.19,1156500.0
AHL,2016,5,0.01792431953972118,22,45.19,46.0,1978500.0
AHL,2016,6,-0.019130434782608785,22,46.0,45.12,905500.0
AHL,2016,7,0.11436170212765973,16,45.12,50.28,1027500.0
AHL,2016,8,0.20087509944311854,21,50.28,60.38,4098000.0
AHL,2016,9,-0.2156343159986751,17,60.38,47.36,2524500.0
AHL,2016,10,0.21853885135135132,19,47.36,57.71,4512500.0
AHL,2016,11,0.19234101542193738,22,57.71,68.81,7819500.0
AHL,2016,12,0.14053189943322186,22,68.81,78.48,4810000.0
AHL,2017,1,0.37410805300713545,22,78.48,107.84,12773000.0
AHL,2017,2,-0.13149109792284874,20,107.84,93.66,5189500.0
AHL,2017,3,0.0026692291266281476,22,93.66,93.91,2164500.0
AHL,2017,4,0.05441380044723676,20,93.91,99.02,3960000.0
AHL,2017,5,-0.061300747323772886,22,99.02,92.95,3150000.0
AHL,2017,6,-0.13491124260355036,18,92.95,80.41,6620500.0
AHL,2017,7,0.07399577167019022,21,80.41,86.36,5636500.0
AHL,2017,8,-0.13733209819360814,22,86.36,74.5,3201000.0
AHL,2017,9,-0.2649664429530202,19,74.5,54.76,3440500.0
AHL,2017,10,-0.26497443389335273,22,54.76,40.25,2787500.0
AHL,2017,11,0.02857142857142847,22,40.25,41.4,1199500.0
AHL,2017,12,-0.04468599033816434,19,41.4,39.55,959500.0
AHL,2018,1,0.2214917825537297,23,39.55,48.31,2211500.0
AHL,2018,2,0.003932933140136541,19,48.31,48.5,864500.0
AHL,2018,3,0.028041237113402007,21,48.5,49.86,1684000.0
AHL,2018,4,0.21640593662254304,21,49.86,60.65,1947500.0
AHL,2018,5,-0.015828524319868142,22,60.65,59.69,3377000.0
AHL,2018,6,0.021946724744513313,18,59.69,61.0,1392000.0
AHL,2018,7,0.10409836065573752,20,61.0,67.35,2083000.0
AHL,2018,8,-0.005048255382331002,19,67.35,67.01,1701500.0
AHL,2018,9,-0.3732278764363528,18,67.01,42.0,802500.0
AHL,2018,10,0.05119047619047623,23,42.0,44.15,714500.0
AHL,2018,11,0.005662514156285381,21,44.15,44.4,378500.0
AHL,2018,12,-0.06531531531531531,20,44.4,41.5,358000.0
AHL,2019,1,0.002409638554216942,23,41.5,41.6,458500.0
AHL,2019,2,-0.012019230769230727,17,41.6,41.1,539500.0
AHL,2019,3,-0.027250608272506138,20,41.1,39.98,332000.0
AHL,2019,4,-0.08704352176088037,21,39.98,36.5,146500.0
AHL,2019,5,-0.08054794520547937,21,36.5,33.56,403000.0
AHL,2019,6,-0.05750893921334932,15,33.56,31.63,298000.0
AHL,2019,7,0.011697755295605461,21,31.63,32.0,200500.0
AHL,2019,8,-0.050000000000000044,17,32.0,30.4,237000.0
AHL,2019,9,-0.1082236842105263,17,30.4,27.11,220000.0
AHL,2019,10,0.1803762449280708,23,27.11,32.0,1238500.0
AHL,2019,11,0.6968749999999999,21,32.0,54.3,2643500.0
AHL,2019,12,0.04769797421731137,21,54.3,56.89,2275500.0
AHL,2020,1,-0.0362102302689401,23,56.89,54.83,1280500.0
AHL,2020,2,-0.21429874156483675,19,54.83,43.08,1002500.0
AHL,2020,3,-0.4004178272980502,21,43.08,25.83,1180500.0
AHL,2020,4,0.19821912504839334,22,25.83,30.95,1670000.0
AHL,2020,5,0.09951534733441036,16,30.95,34.03,683500.0
AHL,2020,6,-0.044078754040552504,22,34.03,32.53,2384000.0
AHL,2020,7,0.4177682139563479,22,32.53,46.12,4484500.0
AHL,2020,8,0.08434518647007816,20,46.12,50.01,2113500.0
AHL,2020,9,0.03499300139971995,22,50.01,51.76,3248500.0
AHL,2020,10,-0.002704791344667723,21,51.76,51.62,4489000.0
AHL,2020,11,0.019372336303758342,20,51.62,52.62,598000.0
AHL,2020,12,0.339604713036868,22,52.62,70.49,3685500.0
AHL,2021,1,0.007093204709887946,21,70.49,70.99,3911500.0
AHL,2021,2,0.0005634596422032789,18,70.99,71.03,1869000.0
AHL,2021,3,-0.06757708010699703,22,71.03,66.23,643500.0
AHL,2021,4,-0.03367054205043041,22,66.23,64.0,383500.0
AHL,2021,5,0.2142187499999999,15,64.0,77.71,3430500.0
AHL,2021,6,0.04388109638399196,22,77.71,81.12,2947500.0
AHL,2021,7,0.06656804733727806,19,81.12,86.52,2286000.0
AHL,2021,8,-0.030628756356911646,20,86.52,83.87,4588000.0
AHL,2021,9,-0.4295934183855967,22,83.87,47.84,2891000.0
AHL,2021,10,-0.07880434782608703,20,47.84,44.07,972000.0
AHL,2021,11,-0.007714998865441469,22,44.07,43.73,811500.0
AHL,2021,12,-0.008461010747770392,23,43.73,43.36,815500.0
AHL,2022,1,0.0883302583025829,21,43.36,47.19,899500.0
AHL,2022,2,-0.09896164441618971,20,47.19,42.52,826000.0
AHL,2022,3,0.05079962370649094,22,42.52,44.68,773000.0
AHL,2022,4,0.016562220232766434,20,44.68,45.42,856500.0
AHL,2022,5,-0.11206516952884205,18,45.42,40.33,561500.0
AHL,2022,6,0.10066947681626592,22,40.33,44.39,528500.0
AHL,2022,7,-0.05384095517008336,18,44.39,42.0,435000.0
AHL,2022,8,0.1121428571428571,21,42.0,46.71,724500.0
AHL,2022,9,-0.015200171269535434,22,46.71,46.0,973000.0
AHL,2022,10,-0.23043478260869565,21,46.0,35.4,1168000.0
AHL,2022,11,0.12005649717514122,21,35.4,39.65,275000.0
AHL,2022,12,-0.01967213114754096,22,39.65,38.87,596000.0
AHL,2023,1,-0.007203498842294653,22,38.87,38.59,748000.0
AHL,2023,2,-0.11764705882352955,19,38.59,34.05,807500.0
AHL,2023,3,-0.04552129221732737,21,34.05,32.5,878500.0
AHL,2023,4,0.06800000000000006,14,32.5,34.71,480500.0
AHL,2023,5,-0.19936617689426683,20,34.71,27.79,785000.0
AHL,2023,6,-0.039942425332853526,18,27.79,26.68,325500.0
AHL,2023,7,0.26686656671664166,20,26.68,33.8,870000.0
AHL,2023,8,-0.11242603550295849,21,33.8,30.0,475000.0
AHL,2023,9,-0.007999999999999896,20,30.0,29.76,442000.0
AHL,2023,10,0.07694892473118253,22,29.76,32.05,1396000.0
AHL,2023,11,0.154446177847114,21,32.05,37.0,5350500.0
AHL,2023,12,0.15297297297297296,20,37.0,42.66,3348000.0
AHL,2024,1,0.09001406469760909,23,42.66,46.5,1848000.0
AHL,2024,2,0.032258064516129004,19,46.5,48.0,1176000.0
AHL,2024,3,-0.05791666666666673,21,48.0,45.22,1073500.0
AHL,2024,4,0.14352056612118536,18,45.22,51.71,1880500.0
