ticker,year,month,volume_tl
YATAS,2021,10,272354875.0
YATAS,2021,11,799524815.0
YATAS,2021,12,1184811107.0
YATAS,2022,1,455336548.0
YATAS,2022,2,267532123.0
YATAS,2022,3,518334860.0
YATAS,2022,4,1662667276.0
YATAS,2022,5,442679760.0
YATAS,2022,6,793579097.0
YATAS,2022,7,566447595.0
YATAS,2022,8,1172091268.0
YATAS,2022,9,1476138749.0
YATAS,2022,10,1076752450.0
YATAS,2022,11,1906697250.0
YATAS,2022,12,2079131201.0
YATAS,2023,1,1170814976.0
YATAS,2023,2,677149404.0
YATAS,2023,3,1389628742.0
YATAS,2023,4,889800823.0
YATAS,2023,5,866488042.0
YATAS,2023,6,1298100276.0
YATAS,2023,7,2353382988.0
YATAS,2023,8,2909545848.0
YATAS,2023,9,2132501423.0
YATAS,2023,10,1452679088.0
YATAS,2023,11,1328370958.0
YATAS,2023,12,812834260.0
YATAS,2024,1,1945320949.0
YATAS,2024,2,1894752508.0
YATAS,2024,3,995955988.0
YATAS,2024,4,1164580761.0
YATAS,2024,5,2577250363.0
YATAS,2024,6,1144041431.0
YATAS,2024,7,1097427269.0
YATAS,2024,8,592377788.0
YATAS,2024,9,646183206.0
YATAS,2024,10,634198057.0
YATAS,2024,11,666982460.0
YATAS,2024,12,606557027.0
YATAS,2025,1,936841373.0
YATAS,2025,2,417563258.0
YATAS,2025,3,641957438.0
YATAS,2025,4,482432834.0
YATAS,2025,5,586574812.0
YATAS,2025,6,341099895.0
YATAS,2025,7,610091811.0
YATAS,2025,8,1075373253.0
YATAS,2025,9,1178390953.0
YATAS,2025,10,800253529.0
YATAS,2025,11,616632789.0
YATAS,2025,12,1020334698.0
YATAS,2026,1,1320234182.0
YATAS,2026,2,1123044459.0
YATAS,2026,3,906056591.46
YATAS,2026,4,727483115.16
YATAS,2026,5,2072566537.0
YATAS,2026,6,903037889.0
YATAS,2026,7,688926545.0
YATAS,2026,8,11211890.0
YAYLA,2013,11,28043322.08
YAYLA,2013,12,48006817.68
YAYLA,2014,1,45063509.92
YAYLA,2014,2,45020529.24
YAYLA,2014,3,12733072.0
YAYLA,2014,4,13492092.24
YAYLA,2014,5,8116696.0
YAYLA,2014,6,8151626.0
YAYLA,2014,7,6402580.0
YAYLA,2014,8,5792458.0
YAYLA,2014,9,6576918.0
YAYLA,2014,10,8363784.0
YAYLA,2014,11,20727546.0
YAYLA,2014,12,12723992.0
YAYLA,2015,1,17544642.0
YAYLA,2015,2,6150002.0
YAYLA,2015,3,6930002.0
YAYLA,2015,4,6345286.0
YAYLA,2015,5,11946586.0
YAYLA,2015,6,9412110.0
YAYLA,2015,7,20246266.0
YAYLA,2015,8,11760636.0
YAYLA,2015,9,7383624.0
YAYLA,2015,10,4877212.0
YAYLA,2015,11,23360172.0
YAYLA,2015,12,39498856.0
YAYLA,2016,1,12363564.0
YAYLA,2016,2,5000010.0
YAYLA,2016,3,24583100.0
YAYLA,2016,4,84781958.12
YAYLA,2016,5,15069680.0
YAYLA,2016,6,34498502.0
YAYLA,2016,7,3583872.0
YAYLA,2016,8,129204254.0
YAYLA,2016,9,37139936.0
YAYLA,2016,10,35413718.0
YAYLA,2016,11,23613822.0
YAYLA,2016,12,11372282.0
YAYLA,2017,1,21405534.0
YAYLA,2017,2,26889478.0
YAYLA,2017,3,7365726.0
YAYLA,2017,4,7771288.0
YAYLA,2017,5,9510420.0
YAYLA,2017,6,12951486.0
YAYLA,2017,7,80703954.0
YAYLA,2017,8,30142546.0
YAYLA,2017,9,8575010.0
YAYLA,2017,10,17480048.0
YAYLA,2017,11,17933862.0
YAYLA,2017,12,11631764.0
YAYLA,2018,1,209756526.0
YAYLA,2018,2,184759853.88
YAYLA,2018,3,62846778.0
YAYLA,2018,4,67823452.0
YAYLA,2018,5,75714456.0
YAYLA,2018,6,45086060.0
YAYLA,2018,7,166938696.0
YAYLA,2018,8,50394088.0
YAYLA,2018,9,118018983.56
YAYLA,2018,10,96424278.0
YAYLA,2018,11,67636801.0
YAYLA,2018,12,145166439.0
YAYLA,2019,1,55708891.0
YAYLA,2019,2,110534104.0
YAYLA,2019,3,29815018.0
YAYLA,2019,4,13940989.0
YAYLA,2019,5,19865345.62
YAYLA,2019,6,20920179.0
YAYLA,2019,7,50868254.0
YAYLA,2019,8,21505062.0
YAYLA,2019,9,107253732.0
YAYLA,2019,10,104803089.4
YAYLA,2019,11,215449996.0
YAYLA,2019,12,146104502.24
YAYLA,2020,1,329340759.93
YAYLA,2020,2,207045360.0
YAYLA,2020,3,116341026.0
YAYLA,2020,4,237778798.0
YAYLA,2020,5,158960078.0
YAYLA,2020,6,583977497.0
YAYLA,2020,7,438815220.0
YAYLA,2020,8,144334976.0
YAYLA,2020,9,575054897.0
YAYLA,2020,10,1077871061.0
YAYLA,2020,11,368853302.0
YAYLA,2020,12,1344219227.0
YAYLA,2021,1,1212213386.0
YAYLA,2021,2,744415074.0
YAYLA,2021,3,998586486.0
YAYLA,2021,4,296922259.0
YAYLA,2021,5,227059652.0
YAYLA,2021,6,812329505.0
YAYLA,2021,7,1049189454.0
YAYLA,2021,8,851072141.0
YAYLA,2021,9,540007878.0
YAYLA,2021,10,222367755.0
YAYLA,2021,11,283680840.0
YAYLA,2021,12,337765305.0
YAYLA,2022,1,183862048.0
YAYLA,2022,2,143574118.0
YAYLA,2022,3,124082853.0
YAYLA,2022,4,272346805.0
YAYLA,2022,5,167415702.0
YAYLA,2022,6,560833818.0
YAYLA,2022,7,823183137.0
YAYLA,2022,8,325878725.0
YAYLA,2022,9,353681062.0
YAYLA,2022,10,1031224768.0
YAYLA,2022,11,1393866088.0
YAYLA,2022,12,955542380.0
YAYLA,2023,1,242127989.0
YAYLA,2023,2,115250582.0
YAYLA,2023,3,450393696.0
YAYLA,2023,4,642502439.0
YAYLA,2023,5,155915726.0
YAYLA,2023,6,227128301.0
YAYLA,2023,7,1008015300.0
YAYLA,2023,8,966695149.0
YAYLA,2023,9,927836122.0
YAYLA,2023,10,115604896.0
YAYLA,2023,11,60270288.0
YAYLA,2023,12,135687995.0
YAYLA,2024,1,820189065.0
YAYLA,2024,2,637306714.0
YAYLA,2024,3,961947293.0
YAYLA,2024,4,793034212.0
YAYLA,2024,5,607568787.0
YAYLA,2024,6,282954729.0
YAYLA,2024,7,1193743193.0
YAYLA,2024,8,1832893132.0
YAYLA,2024,9,730481554.0
YAYLA,2024,10,1297875117.0
YAYLA,2024,11,1778965738.0
YAYLA,2024,12,2789890173.0
YAYLA,2025,1,472217491.0
YAYLA,2025,2,530544512.0
YAYLA,2025,3,412219502.0
YAYLA,2025,4,410579017.0
YAYLA,2025,5,453903616.0
YAYLA,2025,6,499206985.0
YAYLA,2025,7,454902456.0
YAYLA,2025,8,931721677.0
YAYLA,2025,9,862937682.0
YAYLA,2025,10,1993610746.0
YAYLA,2025,11,1096188430.0
YAYLA,2025,12,820868533.0
YAYLA,2026,1,1326560623.0
YAYLA,2026,2,596102213.0
YAYLA,2026,3,473045505.0
YAYLA,2026,4,1709501798.24
YAYLA,2026,5,1425460173.0
YAYLA,2026,6,1117336795.0
YAYLA,2026,7,686134944.0
YAYLA,2026,8,14696262.0
YBTAS,2012,10,20910.0
