model,window,alpha
AE(1),2,-0.02315525
AE(1),2,0.04122185
AE(1),2,0.07598311
AE(1),2,-0.01193449
AE(1),2,-0.00715043
AE(1),2,-0.01943081
AE(1),2,0.06126881
AE(1),2,-0.02985725
AE(1),2,0.03673059
AE(1),2,-0.01994125
AE(1),2,0.01577735
AE(1),2,-0.06502608
AE(1),2,-0.02968497
AE(1),2,-0.00332867
AE(1),2,0.02800757
AE(1),2,-0.02087891
AE(1),2,0.03418688
AE(1),2,0.04238804
AE(1),2,0.07443026
AE(1),2,0.09958865
AE(1),2,-0.00468851
AE(1),2,0.01767028
AE(1),2,0.08711880
AE(1),2,-0.01421998
AE(1),2,0.08608869
AE(1),2,0.03971894
AE(1),2,-0.05757642
AE(1),2,0.08573990
AE(1),2,-0.00429050
AE(1),2,0.06025309
AE(1),2,0.01960618
AE(1),2,0.08278724
AE(1),2,0.02116357
AE(1),2,0.07553566
AE(1),2,0.00678581
AE(1),2,0.02657482
AE(1),2,0.05160529
AE(1),2,0.02727648
AE(1),2,-0.01188221
AE(1),2,0.02367485
AE(1),2,-0.01746653
AE(1),2,0.00315217
AE(1),2,0.03281334
AE(1),2,-0.00482545
AE(1),2,-0.01252671
AE(1),2,0.02326752
AE(1),2,-0.02042544
AE(1),2,-0.00944120
AE(1),2,0.00807209
AE(1),2,-0.01106742
AE(1),2,-0.00256163
AE(1),2,0.03652305
AE(1),2,-0.01688612
AE(1),2,0.05199361
AE(1),2,-0.02120816
AE(1),2,0.07289517
AE(1),2,0.02933973
AE(1),2,0.02930801
AE(1),2,-0.00919886
AE(1),2,-0.03367042
AE(1),2,0.03156509
AE(1),2,0.09664535
AE(1),2,0.02597081
AE(1),2,0.09225643
AE(1),2,-0.00566008
AE(1),2,-0.01557633
AE(1),2,0.00884426
AE(1),2,-0.02210495
AE(1),2,0.00637159
AE(1),2,0.01850914
AE(1),2,-0.01360243
AE(1),2,0.02107950
AE(1),2,0.02008694
AE(1),2,-0.02122406
AE(1),2,0.08402463
AE(1),2,-0.07773633
AE(1),2,-0.01311567
AE(1),2,-0.00493943
AE(1),2,0.03441123
AE(1),2,0.00101733
AE(1),2,-0.00566482
AE(1),2,0.03928896
AE(1),2,-0.01066696
AE(1),2,-0.01344933
AE(1),2,0.09315164
AE(1),2,0.00486382
AE(1),2,0.00250263
AE(1),2,0.01044705
AE(1),2,-0.00779308
AE(1),2,0.04806352
AE(1),2,-0.04907076
AE(1),2,0.00187707
AE(1),2,0.11375592
AE(1),2,-0.01175416
AE(1),2,0.01570551
AE(1),2,-0.02795925
AE(1),2,-0.00446183
AE(1),2,-0.00133960
AE(1),2,-0.00587443
AE(1),2,0.07505762
AE(1),2,0.00364338
AE(1),2,-0.00637090
AE(1),2,0.00688422
AE(1),2,0.00421814
AE(1),2,0.00435974
AE(1),2,0.04540104
AE(1),2,0.08543648
AE(1),2,0.02824993
AE(1),2,0.08041533
AE(1),2,-0.00741453
AE(1),2,0.04330817
AE(1),2,-0.02111597
AE(1),2,-0.00205778
AE(1),2,0.00067245
AE(1),2,0.08496692
AE(1),2,0.04220855
AE(1),2,0.02394551
AE(1),2,0.06955059
AE(1),2,-0.02000616
AE(1),2,-0.01373124
AE(1),2,0.02206178
AE(1),2,0.01936311
AE(1),2,0.01515079
AE(1),2,-0.00792927
AE(1),2,0.01013132
AE(1),2,0.03754364
AE(1),2,0.01788587
AE(1),2,0.00650233
AE(1),2,-0.00127139
AE(1),2,0.00544960
AE(1),2,0.07196105
AE(1),2,0.00117824
AE(1),2,-0.00973288
AE(1),2,0.05154221
AE(1),2,0.04467386
AE(1),2,0.01156978
AE(1),2,-0.00345796
AE(1),2,0.03623587
AE(1),2,-0.04358544
AE(1),2,0.06757383
AE(1),2,-0.00288460
AE(1),2,0.19131098
AE(1),2,0.01481966
AE(1),2,0.03824056
AE(1),2,-0.01743193
AE(1),2,0.05296515
AE(1),2,-0.02668687
AE(1),2,0.01511518
AE(1),2,0.06616796
AE(1),2,-0.01329840
AE(1),2,-0.01331803
AE(1),2,0.07094508
AE(1),2,0.04428032
AE(1),2,-0.01010842
AE(1),2,-0.01181251
AE(1),2,-0.01805432
AE(1),2,0.07603594
AE(1),2,0.09846637
AE(1),2,-0.00354909
AE(1),2,-0.02258507
AE(1),2,0.07564619
AE(1),2,-0.00522410
AE(1),2,0.04357679
AE(1),2,-0.01579548
AE(1),2,0.00548132
AE(1),2,-0.00355193
AE(1),2,-0.03449296
AE(1),2,0.00928222
AE(1),2,0.05220849
AE(1),2,0.02583949
AE(1),2,-0.01013020
AE(1),2,-0.03075848
AE(1),2,-0.01728458
AE(1),2,-0.00240310
AE(1),2,0.03732939
AE(1),2,-0.00872323
AE(1),2,-0.06506654
AE(1),2,-0.01477496
AE(1),2,-0.01052708
AE(1),2,0.03243050
AE(1),2,-0.02143165
AE(1),2,-0.02038031
AE(1),2,0.04506928
AE(1),2,0.02265939
AE(1),2,0.03839747
AE(1),2,-0.00717428
AE(1),2,0.02232602
AE(1),2,0.02803351
AE(1),2,-0.00411333
AE(1),2,0.09625707
AE(1),2,-0.01456632
AE(1),2,-0.04309587
AE(1),2,0.02906827
AE(1),2,-0.00544303
AE(1),2,0.16896310
AE(1),2,0.05414779
AE(1),2,0.02516300
AE(1),2,0.07438146
AE(1),2,0.01233830
AE(1),2,-0.02482806
AE(1),2,-0.00342265
AE(1),2,0.06261836
AE(1),2,0.02302695
AE(1),2,0.08703532
AE(1),2,-0.00547433
AE(1),2,-0.01732077
AE(1),2,0.01291909
AE(1),2,0.05673463
AE(1),2,0.00753383
AE(1),2,-0.02439325
AE(1),2,0.02512226
AE(1),2,-0.02479875
AE(1),2,-0.02698100
AE(1),2,-0.04269718
AE(1),2,0.12572819
AE(1),2,0.05811146
AE(1),2,0.00866927
AE(1),2,0.10333859
AE(1),2,-0.02155452
AE(1),2,-0.04149072
AE(1),2,0.00099833
AE(1),2,-0.01592042
AE(1),2,-0.04429785
AE(1),2,-0.02466514
AE(1),2,-0.00271575
AE(1),2,-0.01402483
AE(1),2,0.00813924
AE(1),2,0.02303038
AE(1),2,0.01084745
AE(1),2,0.04032183
AE(1),2,0.07759669
AE(1),2,0.01762081
AE(1),2,-0.02472651
AE(1),2,-0.01455705
AE(1),2,-0.00573882
AE(1),2,-0.00355475
AE(1),2,-0.01020251
AE(1),2,-0.03834793
AE(1),2,0.12169702
AE(1),2,0.09149535
AE(1),2,0.07599518
AE(1),2,-0.01448181
AE(1),2,0.08052771
AE(1),2,0.00249928
AE(1),2,0.01008543
AE(1),2,0.03273253
AE(1),2,0.08250988
AE(1),2,0.04582365
AE(1),2,0.05431991
AE(1),2,0.16867865
AE(1),2,0.00835057
AE(1),2,-0.01131741
AE(1),2,0.01094066
AE(1),2,0.00840531
AE(1),2,0.01443248
AE(1),2,0.03749388
AE(1),2,0.12067396
AE(1),2,0.15666481
AE(1),2,0.04316323
AE(1),2,0.05838936
AE(1),2,0.10598043
AE(1),2,0.00995303
AE(1),2,0.05811569
AE(1),2,-0.03522006
AE(1),2,0.03393193
AE(1),2,-0.03429448
AE(1),2,-0.00159056
AE(1),2,0.06384824
AE(1),2,0.01562737
AE(1),2,0.02345525
AE(1),2,-0.02706329
AE(1),2,0.05892383
AE(1),2,0.02957272
AE(1),2,0.07550726
AE(1),2,0.01982363
AE(1),2,-0.02012950
AE(1),2,0.06432428
AE(1),3,-0.00381459
AE(1),3,-0.03287082
AE(1),3,-0.04326433
AE(1),3,-0.01854043
AE(1),3,-0.02666839
AE(1),3,0.02781502
AE(1),3,0.01252473
AE(1),3,-0.05041149
AE(1),3,-0.05686695
AE(1),3,0.03082512
AE(1),3,-0.03665857
AE(1),3,-0.05703131
AE(1),3,-0.00718927
AE(1),3,-0.01453773
AE(1),3,-0.02496985
AE(1),3,-0.06382608
AE(1),3,-0.06199503
AE(1),3,0.03520163
AE(1),3,0.00478353
AE(1),3,-0.04638581
AE(1),3,-0.06939708
AE(1),3,-0.01973150
AE(1),3,-0.00624152
AE(1),3,-0.01871866
AE(1),3,-0.05085384
AE(1),3,-0.03104616
