model,window,alpha
IPCA(1),2,0.01571151
IPCA(1),2,0.02350150
IPCA(1),2,-0.02666627
IPCA(1),2,0.05950416
IPCA(1),2,0.03001467
IPCA(1),2,0.07608553
IPCA(1),2,0.01987989
IPCA(1),2,-0.02012096
IPCA(1),2,0.06476816
IPCA(1),3,-0.00379537
IPCA(1),3,-0.03280178
IPCA(1),3,-0.04302522
IPCA(1),3,-0.01844174
IPCA(1),3,-0.02647717
IPCA(1),3,0.02780708
IPCA(1),3,0.01255336
IPCA(1),3,-0.05021541
IPCA(1),3,-0.05671691
IPCA(1),3,0.03076326
IPCA(1),3,-0.03654270
IPCA(1),3,-0.05700001
IPCA(1),3,-0.00715347
IPCA(1),3,-0.01448297
IPCA(1),3,-0.02492980
IPCA(1),3,-0.06367563
IPCA(1),3,-0.06176898
IPCA(1),3,0.03510071
IPCA(1),3,0.00460717
IPCA(1),3,-0.04625720
IPCA(1),3,-0.06917908
IPCA(1),3,-0.01972746
IPCA(1),3,-0.00609037
IPCA(1),3,-0.01865787
IPCA(1),3,-0.05065324
IPCA(1),3,-0.03101038
IPCA(1),3,-0.06263572
IPCA(1),3,-0.03546278
IPCA(1),3,-0.01163242
IPCA(1),3,-0.03926894
IPCA(1),3,-0.02473311
IPCA(1),3,-0.01852102
IPCA(1),3,-0.04707769
IPCA(1),3,-0.05415686
IPCA(1),3,0.01336690
IPCA(1),3,0.02176589
IPCA(1),3,-0.08926533
IPCA(1),3,-0.03875384
IPCA(1),3,-0.02484546
IPCA(1),3,-0.02132358
IPCA(1),3,-0.00999235
IPCA(1),3,-0.05404885
IPCA(1),3,-0.02745236
IPCA(1),3,-0.03422643
IPCA(1),3,-0.03223365
IPCA(1),3,-0.02958187
IPCA(1),3,-0.00252263
IPCA(1),3,-0.05575164
IPCA(1),3,-0.01617557
IPCA(1),3,-0.01895165
IPCA(1),3,-0.04107359
IPCA(1),3,-0.01804239
IPCA(1),3,0.04917321
IPCA(1),3,-0.01412638
IPCA(1),3,-0.01962866
IPCA(1),3,-0.05479651
IPCA(1),3,-0.06663965
IPCA(1),3,-0.00840975
IPCA(1),3,-0.03944816
IPCA(1),3,-0.04726968
IPCA(1),3,-0.03615154
IPCA(1),3,-0.03920732
IPCA(1),3,-0.04139055
IPCA(1),3,-0.05195383
IPCA(1),3,-0.03472361
IPCA(1),3,-0.00845508
IPCA(1),3,-0.05299643
IPCA(1),3,-0.04771848
IPCA(1),3,-0.05632755
IPCA(1),3,-0.03744750
IPCA(1),3,-0.00916890
IPCA(1),3,-0.04895691
IPCA(1),3,0.00063728
IPCA(1),3,-0.03398201
IPCA(1),3,0.02662156
IPCA(1),3,-0.00813427
IPCA(1),3,-0.05741850
IPCA(1),3,-0.05328136
IPCA(1),3,-0.02525938
IPCA(1),3,-0.03309535
IPCA(1),3,0.00080717
IPCA(1),3,-0.00576394
IPCA(1),3,-0.04612504
IPCA(1),3,-0.02503357
IPCA(1),3,-0.00400470
IPCA(1),3,0.01457369
IPCA(1),3,-0.04312733
IPCA(1),3,-0.00934922
IPCA(1),3,0.01420650
IPCA(1),3,-0.02175379
IPCA(1),3,-0.03993252
IPCA(1),3,-0.00790361
IPCA(1),3,-0.05357249
IPCA(1),3,-0.02070946
IPCA(1),3,-0.00975225
IPCA(1),3,-0.07731479
IPCA(1),3,-0.05848440
IPCA(1),3,-0.02958169
IPCA(1),3,0.02915811
IPCA(1),3,0.01333104
IPCA(1),3,-0.02303041
IPCA(1),3,-0.02496698
IPCA(1),3,-0.05653750
IPCA(1),3,-0.03546730
IPCA(1),3,-0.05657175
IPCA(1),3,-0.06790794
IPCA(1),3,-0.04618203
IPCA(1),3,-0.06741260
IPCA(1),3,-0.02622762
IPCA(1),3,-0.03088321
IPCA(1),3,-0.04355259
IPCA(1),3,-0.03181459
IPCA(1),3,-0.03612714
IPCA(1),3,-0.04618774
IPCA(1),3,-0.02150524
IPCA(1),3,0.01422235
IPCA(1),3,-0.02975893
IPCA(1),3,-0.00382941
IPCA(1),3,-0.03603031
IPCA(1),3,-0.01362000
IPCA(1),3,-0.01197423
IPCA(1),3,-0.04127073
IPCA(1),3,-0.02202791
IPCA(1),3,-0.05357378
IPCA(1),3,-0.01766089
IPCA(1),3,-0.04015527
IPCA(1),3,-0.06907880
IPCA(1),3,-0.04481348
IPCA(1),3,-0.01333309
IPCA(1),3,-0.00162019
IPCA(1),3,-0.04229336
IPCA(1),3,0.01145826
IPCA(1),3,-0.05879486
IPCA(1),3,-0.02362466
IPCA(1),3,-0.00898208
IPCA(1),3,0.01988477
IPCA(1),3,-0.01912477
IPCA(1),3,-0.02376815
IPCA(1),3,-0.01907522
IPCA(1),3,-0.04401418
IPCA(1),3,-0.02474231
IPCA(1),3,-0.04894010
IPCA(1),3,-0.01268016
IPCA(1),3,0.01001720
IPCA(1),3,-0.03373081
IPCA(1),3,-0.06471489
IPCA(1),3,-0.06586757
IPCA(1),3,-0.05944425
IPCA(1),3,0.00998595
IPCA(1),3,-0.02408249
IPCA(1),3,-0.02603599
IPCA(1),3,-0.04427343
IPCA(1),3,-0.04667803
IPCA(1),3,-0.01888816
IPCA(1),3,-0.01726540
IPCA(1),3,0.02546367
IPCA(1),3,-0.03028683
IPCA(1),3,-0.04680955
IPCA(1),3,0.00334060
IPCA(1),3,-0.01246258
IPCA(1),3,-0.00439871
IPCA(1),3,-0.02478680
IPCA(1),3,-0.05156175
IPCA(1),3,-0.04132191
IPCA(1),3,-0.05126876
IPCA(1),3,0.01564321
IPCA(1),3,-0.05889221
IPCA(1),3,-0.02761402
IPCA(1),3,0.00039095
IPCA(1),3,-0.03023645
IPCA(1),3,-0.05715935
IPCA(1),3,0.04240812
IPCA(1),3,-0.02484675
IPCA(1),3,-0.02762845
IPCA(1),3,-0.03571252
IPCA(1),3,-0.02360698
IPCA(1),3,-0.00807816
IPCA(1),3,-0.02018664
IPCA(1),3,0.06681088
IPCA(1),3,-0.04985989
IPCA(1),3,-0.10195387
IPCA(1),3,0.01371205
IPCA(1),3,0.01753345
IPCA(1),3,-0.02463379
IPCA(1),3,0.04185515
IPCA(1),3,-0.02779157
IPCA(1),3,-0.01214380
IPCA(1),3,-0.01858330
IPCA(1),3,-0.02858684
IPCA(1),3,-0.03761893
IPCA(1),3,-0.02587085
IPCA(1),3,-0.00688303
IPCA(1),3,-0.04279736
IPCA(1),3,-0.03363862
IPCA(1),3,-0.07118680
IPCA(1),3,0.00109406
IPCA(1),3,-0.01383146
IPCA(1),3,-0.02714253
IPCA(1),3,-0.04105990
IPCA(1),3,-0.03148666
IPCA(1),3,-0.02040370
IPCA(1),3,0.00111253
IPCA(1),3,-0.02176804
IPCA(1),3,-0.05395737
IPCA(1),3,0.02652884
IPCA(1),3,-0.01774810
IPCA(1),3,-0.00289682
IPCA(1),3,-0.05710397
IPCA(1),3,0.00655299
IPCA(1),3,-0.04731816
IPCA(1),3,-0.05105116
IPCA(1),3,-0.00960502
IPCA(1),3,-0.02047359
IPCA(1),3,-0.03051521
IPCA(1),3,-0.02798139
