ticker,year,month,ret_monthly,size,st_rev,turnover,vol,bm,mom,roe,ag,ac,noa,nsi,gp,cei,ita,dist,oscore,investment,cbop,dy
ATBA,2014,1,-0.025615384615384595,0.7144594725610817,,-0.5740205829722809,,,,,,,,,,,,,,,,
ATLH,2014,1,0.05536912751677847,1.159966545191662,,-0.5771840634678422,,,,,,,1.549696734561944,,0.436676775751946,,,,,,,
ATRL,2014,1,0.04367506139548327,0.973829172322503,,1.9791183933264052,,,,,,,-0.3849463409815824,,-1.1073149504915782,,,,,,,
BAPL,2014,1,-0.08368708308065487,-1.524574065417208,,2.9590705398939057,,,,,,,,,,,,,,,,
BATA,2014,1,0.16349025590339705,1.0024863217973006,,-0.5579109173568246,,,,0.4545065887073705,,,-0.10761981499108353,,3.2404446514738052,,,,-0.957153175191397,,,
BCL,2014,1,0.17014547754585707,-0.9042339385316818,,-0.5633484382954111,,,,,,,2.070523778230142,,-0.6736506066698356,,,,,,,
BCML,2014,1,0.7202226345083491,,,,,,,,,,,,,,,,,,,
BERG,2014,1,-0.20830449826989617,-0.34190465578993895,,-0.2205132757595755,,,,-0.3240854022697606,,,-0.17306450412877758,,0.43258516683293025,,,,1.0362166278262097,,,
BGL,2014,1,0.45773195876288675,0.2065641635024399,,-0.5332283024966056,,,,,,,,,,,,,,,,
BHAT,2014,1,0.4188532555879494,-0.1269306874029363,,-0.5759429560308231,,,,,,,1.2060685214369644,,0.09094661246966879,,,,,,,
BIFO,2014,1,0.05413612565445036,0.22251883861991575,,-0.5724181883583581,,,,1.4501351583542657,,,-0.013362719141549217,,1.603372662384404,,,,-0.4108929451678814,,,
BILF,2014,1,0.3259668508287292,-1.3364030805108091,,0.10270236698502042,,,,,,,,,,,,,,,,
BNWM,2014,1,0.06712328767123288,-0.6427584298056908,,-0.10727858720771842,,,,,,,,,,,,,,,,
BPBL,2014,1,0.7034068136272544,,,,,,,,,,-2.77008659334643,,,,,,2.914995171937383,,,
BPL,2014,1,0.0832524271844659,-0.49989763557548655,,0.017849479118318197,,,,,,,,,,,,,,,,
BTL,2014,1,0.33632510595861365,-0.24577900123784238,,-0.30587143550862556,,,,-0.021431762408810052,,,-0.3121324296620422,,-0.21992329419072779,,,,-0.2639535128117406,,,
BUXL,2014,1,0.2360248447204969,-1.9765574916539608,,0.00034145298463439497,,,,,,,0.21170614436375298,,0.09588972510323367,,,,,,,
BWCL,2014,1,0.007042253521126751,1.2615591364651897,,-0.5856897781500122,,,,,,,,,,,,,,,,
BWHL,2014,1,0.07742181540808546,-0.6347733721221581,,-0.5748090452291267,,,,-0.47141470089623805,,,-0.027411129641781138,,-0.6538792275909667,,,,-0.8886779128670171,,,
BYCO,2014,1,0.011223344556677839,1.3174990818127135,,-0.4880589825284699,,,,,,,,,,,,,,,,
CCM,2014,1,0.14851485148514842,-0.37327251778253456,,-0.5719898331962407,,,,-0.3666874605741745,,,0.060039459810245756,,-0.657368146376017,,,,-0.6511608387925271,,,
CEPB,2014,1,0.2876955903271692,1.082007696984913,,-0.3322667440400028,,,,,,,0.913613445442798,,-0.24467420677562302,,,,,,,
CFL,2014,1,0.18999999999999995,-0.7486664706610943,,-0.5239957944295417,,,,,,,,,,,,,,,,
