symbol,year,field,our_normalized,external,ratio,level,source
TREET,2025,Sales,12591060,12591060.0,1.000,EXACT,dps
TREET,2025,PAT,1045520,1045520.0,1.000,EXACT,dps
TREET,2025,Sales,12591060,26687607.0,0.472,loose,sarmaaya
TREET,2025,COGS,-7993997,19710058.0,0.406,loose,sarmaaya
TREET,2025,PAT,1045520,502971.0,2.079,loose,sarmaaya
WAVES,2022,PAT,208901.0,208901.0,1.000,EXACT,dps
TPLP,2024,TA,14048883.914,14808286.0,0.949,EXACT,sarmaaya
TPLP,2024,TL,4065512.822,5354496.0,0.759,tight,sarmaaya
TPLP,2024,Eq,9983371.092,9453790.0,1.056,EXACT,sarmaaya
TPLP,2024,CA,2419291.892,2229389.0,1.085,EXACT,sarmaaya
OGDC,2024,Sales,463697861,463697861.0,1.000,EXACT,dps
OGDC,2024,PAT,208977771,208975771.0,1.000,EXACT,dps
OGDC,2024,TA,1604254140,1604254140.0,1.000,EXACT,sarmaaya
OGDC,2024,TL,353757922.0,353757922.0,1.000,EXACT,sarmaaya
OGDC,2024,CA,1060489235,1060489235.0000001,1.000,EXACT,sarmaaya
WAVES,2023,PAT,148186,148186.0,1.000,EXACT,dps
BCL,2025,TA,796777.622,818564.0,0.973,EXACT,sarmaaya
BCL,2025,TL,475415.559,497202.0,0.956,EXACT,sarmaaya
BCL,2025,Eq,321362.063,321362.0,1.000,EXACT,sarmaaya
BCL,2025,CA,585096.607,585097.0,1.000,EXACT,sarmaaya
BCL,2025,COGS,-1555889.947,1555343.0,1.000,EXACT,sarmaaya
JGICL,2025,TA,65378379,47721232.0,1.370,loose,sarmaaya
TPL,2024,TA,6671273.685,30278257.0,0.220,WARN,sarmaaya
TPL,2024,TL,5866062.097,21724149.0,0.270,WARN,sarmaaya
TPL,2024,Eq,805211.588,2361001.0,0.341,WARN,sarmaaya
TPL,2024,CA,319512.397,13082617.0,0.024,MISMATCH,sarmaaya
TREET,2023,Sales,10173875,10173875.0,1.000,EXACT,dps
TREET,2023,PAT,861830.0,861830.0,1.000,EXACT,dps
APL,2023,Sales,487718441.0,473938329.0,1.029,EXACT,dps
APL,2023,PAT,12460790.0,12460790.0,1.000,EXACT,dps
HIRAT,2023,TA,3101699.269,3270514.0,0.948,EXACT,sarmaaya
HIRAT,2023,TL,3397856.006,4048171.0,0.839,tight,sarmaaya
HIRAT,2023,Eq,-296156.737,-777657.0,0.381,WARN,sarmaaya
HIRAT,2023,CA,94586.181,94586.0,1.000,EXACT,sarmaaya
SURC,2022,Sales,23500659,23500659.0,1.000,EXACT,dps
TPLI,2023,PAT,1127019.388,1127019.0,1.000,EXACT,dps
SPEL,2023,Sales,6430965.444,6430965.0,1.000,EXACT,dps
SPEL,2023,PAT,491097.54,491098.0,1.000,EXACT,dps
ILP,2024,Sales,156128865,156128865.0,1.000,EXACT,dps
ILP,2024,PAT,15771267,15771267.0,1.000,EXACT,dps
ILP,2024,TA,151674177,154639472.0,0.981,EXACT,sarmaaya
ILP,2024,TL,98141702,99060617.0,0.991,EXACT,sarmaaya
ILP,2024,Eq,53532475,54161464.0,0.988,EXACT,sarmaaya
ILP,2024,CA,81070712.0,83775294.0,0.968,EXACT,sarmaaya
KHYT,2024,Sales,18354.5,18355.0,1.000,EXACT,dps
DKL,2020,Sales,2571.125,1225.0,2.099,loose,dps
AABS,2022,Sales,10362184,10362184.0,1.000,EXACT,dps
AABS,2022,PAT,1913689,1913689.0,1.000,EXACT,dps
UDPL,2024,PAT,362474,362474.0,1.000,EXACT,dps
WAHN,2022,PAT,209122.716,209123.0,1.000,EXACT,dps
AMBL,2025,TA,20730270.642,20730271.0,1.000,EXACT,sarmaaya
AMBL,2025,TL,31239503.241,31239503.0,1.000,EXACT,sarmaaya
AMBL,2025,Eq,-10509232.599,-10509233.0,1.000,EXACT,sarmaaya
AMBL,2025,Sales,3152248.88,3493009.0,0.902,EXACT,sarmaaya
AMBL,2025,PAT,-1648078.423,-1648078.0,1.000,EXACT,sarmaaya
FABL,2022,PAT,9587413,11233168.0,0.853,tight,dps
PAKD,2022,PAT,231298.622,231299.0,1.000,EXACT,dps
KOHTM,2023,Sales,5952262,5952262.0,1.000,EXACT,dps
KOHTM,2023,PAT,85154,85154.0,1.000,EXACT,dps
NRSL,2025,Sales,9258813.518,9258814.0,1.000,EXACT,dps
NRSL,2025,PAT,249472.038,249472.0,1.000,EXACT,dps
NRSL,2025,TA,6775666.25,6875998.0,0.985,EXACT,sarmaaya
NRSL,2025,TL,3367917.751,3475136.0,0.969,EXACT,sarmaaya
NRSL,2025,Eq,3407748.499,3400862.0,1.002,EXACT,sarmaaya
NRSL,2025,CA,5507021.75,5507022.0,1.000,EXACT,sarmaaya
NRSL,2025,Sales,9258813.518,9258814.0,1.000,EXACT,sarmaaya
NRSL,2025,COGS,-8323574.726,8362858.0,0.995,EXACT,sarmaaya
NRSL,2025,PAT,249472.038,249472.0,1.000,EXACT,sarmaaya
AGIL,2024,Sales,5927227,5927227.0,1.000,EXACT,dps
AGIL,2024,PAT,304009.0,304009.0,1.000,EXACT,dps
AGIL,2024,TA,6380988,8904780.0,0.717,loose,sarmaaya
AGIL,2024,TL,2179782,3090537.0,0.705,loose,sarmaaya
AGIL,2024,Eq,4201206,5814243.0,0.723,loose,sarmaaya
AGIL,2024,CA,3251418,4426935.0,0.734,loose,sarmaaya
SSOM,2023,Sales,6230793.595,6230794.0,1.000,EXACT,dps
SSOM,2023,PAT,219928.0,219928.0,1.000,EXACT,dps
MFL,2022,Sales,12375920.766,12375921.0,1.000,EXACT,dps
ASTL,2023,Sales,45492724,45492724.0,1.000,EXACT,dps
KHYT,2025,Sales,20684,20684.0,1.000,EXACT,dps
NPL,2024,Sales,22505489,22505489.0,1.000,EXACT,dps
NPL,2024,PAT,4091029.0,4091029.0,1.000,EXACT,dps
NPL,2024,TA,37896805,37896805.0,1.000,EXACT,sarmaaya
NPL,2024,TL,5279881.0,5279881.0,1.000,EXACT,sarmaaya
NPL,2024,Eq,32616924.0,32616924.0,1.000,EXACT,sarmaaya
NPL,2024,CA,29608679,29608679.0,1.000,EXACT,sarmaaya
JSCL,2022,PAT,345243,345243.0,1.000,EXACT,dps
ALAC,2024,PAT,15123,15123.0,1.000,EXACT,dps
GATI,2024,Sales,34013581,34013581.0,1.000,EXACT,dps
GATI,2024,PAT,1827244.0,1827244.0,1.000,EXACT,dps
GATI,2024,TA,34588886.0,38782961.0,0.892,tight,sarmaaya
GATI,2024,CA,14828818.0,16059343.0,0.923,EXACT,sarmaaya
ALNRS,2023,Sales,13122460.0,13122460.0,1.000,EXACT,dps
ALNRS,2023,PAT,173319.0,173319.0,1.000,EXACT,dps
