level,symbol,year,month,defect_type,missing_fields,detail
HOLE,HSPI,2017,,no_financial_row,ALL_FINANCIALS,span 2013-2023
HOLE,HTL,2023,,no_financial_row,ALL_FINANCIALS,span 2019-2025
HOLE,HUSI,2015,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,HUSI,2016,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,HUSI,2017,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,HWQS,2017,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,ICI,2016,,no_financial_row,ALL_FINANCIALS,span 2014-2022
HOLE,ICL,2016,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,IDRT,2016,,no_financial_row,ALL_FINANCIALS,span 2015-2025
HOLE,IDSM,2016,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,IDYM,2017,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,ILTM,2017,,no_financial_row,ALL_FINANCIALS,span 2013-2020
HOLE,IMSL,2017,,no_financial_row,ALL_FINANCIALS,span 2015-2019
HOLE,ISIL,2014,,no_financial_row,ALL_FINANCIALS,span 2013-2025
HOLE,ISIL,2019,,no_financial_row,ALL_FINANCIALS,span 2013-2025
HOLE,ISIL,2020,,no_financial_row,ALL_FINANCIALS,span 2013-2025
HOLE,ISIL,2022,,no_financial_row,ALL_FINANCIALS,span 2013-2025
HOLE,ISIL,2024,,no_financial_row,ALL_FINANCIALS,span 2013-2025
HOLE,ITTEFAQ,2020,,no_financial_row,ALL_FINANCIALS,span 2013-2025
HOLE,JATM,2016,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,JDWS,2022,,no_financial_row,ALL_FINANCIALS,span 2020-2025
HOLE,JKSM,2017,,no_financial_row,ALL_FINANCIALS,span 2013-2025
HOLE,JOPP,2016,,no_financial_row,ALL_FINANCIALS,span 2014-2023
HOLE,JUBS,2016,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,JVDC,2016,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,KCL,2016,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,KEL,2015,,no_financial_row,ALL_FINANCIALS,span 2014-2023
HOLE,KHTC,2016,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,KHYT,2016,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,KHYT,2018,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,KOHP,2016,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,KOSM,2016,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,KOSM,2023,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,KPUS,2020,,no_financial_row,ALL_FINANCIALS,span 2013-2025
HOLE,KPUS,2022,,no_financial_row,ALL_FINANCIALS,span 2013-2025
HOLE,KSBP,2017,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,KSBP,2020,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,LEUL,2016,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,MACFL,2016,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,MDTL,2016,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,MFFL,2017,,no_financial_row,ALL_FINANCIALS,span 2014-2024
HOLE,MRNS,2017,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,MTIL,2016,,no_financial_row,ALL_FINANCIALS,span 2014-2021
HOLE,MUBT,2016,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,MUGHAL,2016,,no_financial_row,ALL_FINANCIALS,span 2015-2025
HOLE,MUREB,2015,,no_financial_row,ALL_FINANCIALS,span 2013-2025
HOLE,MUREB,2017,,no_financial_row,ALL_FINANCIALS,span 2013-2025
HOLE,MUREB,2023,,no_financial_row,ALL_FINANCIALS,span 2013-2025
HOLE,NATF,2019,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,NCL,2016,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,NCML,2017,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,NCML,2023,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,NESTLE,2014,,no_financial_row,ALL_FINANCIALS,span 2013-2025
HOLE,NICL,2015,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,NICL,2017,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,NONS,2017,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,NPL,2023,,no_financial_row,ALL_FINANCIALS,span 2013-2025
HOLE,NRL,2016,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,NRL,2023,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,NRSL,2014,,no_financial_row,ALL_FINANCIALS,span 2013-2025
