symbol,year,field,our_normalized,external,ratio,source
SRVI,2025,CA,7194053,80664178.0,0.089,sarmaaya
ALTN,2025,CA,947894.0,10725400.0,0.088,sarmaaya
SCL,2025,PAT,-12657.522,144964.0,-0.087,dps
SRVI,2025,PAT,710279,8270245.000000001,0.086,sarmaaya
PPVC,2025,PAT,-7178.018,88714.0,-0.081,dps
CPPL,2025,CA,-518816.0,6843089.0,-0.076,sarmaaya
STCL,2023,PAT,37613,497322.0,0.076,dps
NBP,2022,PAT,2297141,30410300.0,0.076,dps
DLL,2024,TL,727482,10220953.0,0.071,sarmaaya
PMRS,2025,COGS,1977691,28556702.0,0.069,sarmaaya
SPWL,2024,PAT,133337.28,1950659.0,0.068,dps
NBP,2023,PAT,3529477,51840462.0,0.068,dps
PMRS,2025,Sales,1981322,29861424.0,0.066,sarmaaya
EPCL,2024,PAT,610340,9230660.0,0.066,dps
OLPL,2025,COGS,34171.805,582061.0,0.059,sarmaaya
MTIL,2021,PAT,-5489.725,93802.0,-0.059,dps
MODAM,2023,PAT,-3668.54,66063.0,-0.056,dps
PMRS,2024,CA,499659,9170200.0,0.054,sarmaaya
IGIHL,2025,TL,2136187.0,40583581.0,0.053,sarmaaya
SRVI,2025,COGS,-6039576,115678919.0,-0.052,sarmaaya
DSML,2023,PAT,-11918.382,228960.0,-0.052,dps
PKGS,2025,CA,4989255,99102078.0,0.050,sarmaaya
TRIPF,2024,PAT,-43144,863506.0,-0.050,dps
GGL,2024,CA,356897.0,7352657.0,0.049,sarmaaya
MDTL,2025,PAT,-791.977,17066.0,-0.046,dps
SRVI,2025,Sales,6687003,148449359.0,0.045,sarmaaya
SAIF,2024,PAT,11566,282077.0,0.041,dps
PSEL,2022,TA,66697.503,1709342.0,0.039,sarmaaya
TPL,2025,CA,401826.896,11476589.0,0.035,sarmaaya
CLVL,2025,Sales,23695.298,680810.0,0.035,sarmaaya
PSEL,2021,TA,55029.344,1709342.0,0.032,sarmaaya
EFUL,2022,PAT,53005.896,1692118.0,0.031,dps
CLVL,2025,COGS,-6940.872,270049.0,-0.026,sarmaaya
PSEL,2022,Eq,43779.692,1709342.0,0.026,sarmaaya
TPL,2024,CA,319512.397,13082617.0,0.024,sarmaaya
ALTN,2025,COGS,-96393,4208627.0,-0.023,sarmaaya
PSEL,2021,Eq,34509.776,1709342.0,0.020,sarmaaya
ALTN,2024,CA,329670.0,21679881.0,0.015,sarmaaya
GGL,2024,TL,126758.0,8579685.0,0.015,sarmaaya
PSEL,2022,TL,22917.811,1709342.0,0.013,sarmaaya
PSEL,2021,TL,20519.568,1709342.0,0.012,sarmaaya
IGIHL,2024,TL,314204,31393838.0,0.010,sarmaaya
MACFL,2024,PAT,2577.203,257720.0,0.010,dps
ATIL,2025,TL,111875,12239109.0,0.009,sarmaaya
PSEL,2022,CA,13711.86,1709342.0,0.008,sarmaaya
PSEL,2021,CA,12873.422,1709342.0,0.008,sarmaaya
AHL,2024,PAT,-4607.0,611947.0,-0.008,dps
TPLT,2025,CA,165.384,1610181.0,0.000,sarmaaya
DYNO,2024,CA,45.438,4543828.0,0.000,sarmaaya
TPLP,2025,PAT,-11.459,-1920742.0,0.000,sarmaaya
TPLP,2025,PAT,-11.459,4270865.0,-0.000,dps
