ticker,year,shares
NONS,2021,16517500
NONS,2022,16517500
NONS,2023,16517500
NONS,2024,16517500
NONS,2025,16517500
NONS,2026,16517456
NPL,2013,35408850
NPL,2014,35408850
NPL,2015,354088500
NPL,2016,354088500
NPL,2017,354088500
NPL,2018,354088500
NPL,2019,354088500
NPL,2020,354088500
NPL,2021,354088500
NPL,2022,354088500
NPL,2023,354088500
NPL,2024,354088500
NPL,2025,354088500
NPL,2026,354088500
NRL,2013,79966600
NRL,2014,79966600
NRL,2015,79966600
NRL,2016,79966600
NRL,2017,79966600
NRL,2018,79966600
NRL,2019,79966600
NRL,2020,79966600
NRL,2021,79966600
NRL,2022,79966600
NRL,2023,79966600
NRL,2024,79966600
NRL,2025,79966600
NRL,2026,79966560
NRSL,2013,99778928
NRSL,2014,99778928
NRSL,2015,99778928
NRSL,2016,99778928
NRSL,2017,138278928
NRSL,2018,141321064
NRSL,2019,141321064
NRSL,2020,141321064
NRSL,2021,141321064
NRSL,2022,141321064
NRSL,2023,141321064
NRSL,2024,141321064
NRSL,2025,150000000
NRSL,2026,141321100
NSRM,2013,1110941
NSRM,2014,15553174
NSRM,2015,15553174
NSRM,2016,15553174
NSRM,2017,15553174
NSRM,2018,15553174
NSRM,2019,15553174
NSRM,2020,15553174
NSRM,2021,15553174
NSRM,2022,15553174
NSRM,2023,15553174
NSRM,2024,15553174
NSRM,2025,15553174
NSRM,2026,15553133
OGDC,2013,4300928400
OGDC,2014,4300928400
OGDC,2015,4300928400
OGDC,2016,4300928400
OGDC,2017,4300928400
OGDC,2018,4300928400
OGDC,2019,4300928400
OGDC,2020,4300928400
OGDC,2021,4300928400
OGDC,2022,4300928400
OGDC,2023,4300928400
OGDC,2024,4300928400
OGDC,2025,4300928400
OGDC,2026,4300928400
OML,2013,12001088
OML,2014,12001088
OML,2015,12001088
OML,2016,12000000
OML,2017,12000000
OML,2018,12000000
OML,2019,12000000
OML,2020,12000000
OML,2021,12000000
OML,2022,12000000
OML,2023,12000000
OML,2024,12000000
OML,2025,12000000
OML,2026,12000000
OTSU,2013,12100000
OTSU,2014,11000000
OTSU,2015,11000000
OTSU,2016,11000000
OTSU,2017,11000000
OTSU,2018,12100000
OTSU,2019,12100000
OTSU,2020,12100000
OTSU,2021,12100000
OTSU,2022,12100000
OTSU,2023,12100000
OTSU,2024,12100000
OTSU,2025,12100000
OTSU,2026,12100000
PABC,2013,361311765
PABC,2014,361311765
PABC,2015,361311765
PABC,2016,361311765
PABC,2017,361311765
PABC,2018,361311765
PABC,2019,361311765
PABC,2020,361108254
PABC,2021,361108254
PABC,2022,361108254
PABC,2023,361108254
PABC,2024,361108254
PABC,2025,361108254
PABC,2026,361108254
PACE,2013,309862893
PACE,2014,309862893
PACE,2015,309862893
PACE,2016,309862893
PACE,2017,309862893
PACE,2018,309862893
PACE,2019,309862893
PACE,2020,309862893
PACE,2021,309862893
PACE,2022,309862893
PACE,2023,309862893
PACE,2024,309862893
PACE,2025,278671958
PACE,2026,309862893
PAEL,2013,802606767
PAEL,2014,802606767
PAEL,2015,802606767
PAEL,2016,802606767
PAEL,2017,802606767
PAEL,2018,802606767
PAEL,2019,802606767
PAEL,2020,802606767
PAEL,2021,802606767
PAEL,2022,802606767
PAEL,2023,883392667
PAEL,2024,870247794
PAEL,2025,907234670
PAEL,2026,923649501
PAKD,2013,98010000
PAKD,2014,11861487
PAKD,2015,9801000
PAKD,2016,9801000
PAKD,2017,9801000
PAKD,2018,9801000
PAKD,2019,9801000
PAKD,2020,9801000
PAKD,2021,10781100
PAKD,2022,11859210
PAKD,2023,11859210
PAKD,2024,11859210
PAKD,2025,11859210
PAKD,2026,11859210
PAKOXY,2013,87124228
PAKOXY,2014,87124228
PAKOXY,2015,87124228
PAKOXY,2016,87124228
PAKOXY,2017,87124228
PAKOXY,2018,87124228
PAKOXY,2019,87124228
PAKOXY,2020,87124228
PAKOXY,2021,87124228
PAKOXY,2022,87124228
PAKOXY,2023,87124228
PAKOXY,2024,87124228
PAKOXY,2025,87124228
PAKOXY,2026,87124228
PAKT,2013,255493800
PAKT,2014,255493800
PAKT,2015,255493800
PAKT,2016,255494
PAKT,2017,255494
PAKT,2018,255494
PAKT,2019,255494
PAKT,2020,255494
PAKT,2021,255494
PAKT,2022,255494
PAKT,2023,255494
PAKT,2024,255494
PAKT,2025,255494
PAKT,2026,255494
PCAL,2013,54457418
PCAL,2014,54457418
PCAL,2015,54457418
PCAL,2016,54457418
PCAL,2017,54457418
PCAL,2018,54457418
PCAL,2019,54457418
PCAL,2020,54457418
PCAL,2021,54457418
PCAL,2022,54457418
PCAL,2023,35570520
PCAL,2024,49497332
PCAL,2025,54390104
PCAL,2026,54457418
PECO,2013,5690200
PECO,2014,5690200
PECO,2015,5690200
PECO,2016,5690200
PECO,2017,5690200
PECO,2018,5690200
PECO,2019,5690200
PECO,2020,5690200
PECO,2021,5690200
PECO,2022,5690200
PECO,2023,5690200
PECO,2024,5690200
PECO,2025,5690200
PECO,2026,5690200
PGCL,2013,4248552
PGCL,2014,4248552
PGCL,2015,4248552
PGCL,2016,4248552
PGCL,2017,4248552
PGCL,2018,4251701
PGCL,2019,4248552
PGCL,2020,4248552
PGCL,2021,4248552
PGCL,2022,4248552
PGCL,2023,4248552
PGCL,2024,4248552
PGCL,2025,4248552
PGCL,2026,4248552
PHDL,2013,18000000
PHDL,2014,18000000
PHDL,2015,18000000
PHDL,2016,18000000
PHDL,2017,18000000
PHDL,2018,18000000
PHDL,2019,18000000
PHDL,2020,18000000
PHDL,2021,18000000
PHDL,2022,18000000
PHDL,2023,18000000
PHDL,2024,18000000
PHDL,2025,18000000
PHDL,2026,18000000
PIBTL,2013,54576600
PIBTL,2014,54576600
PIBTL,2015,758614500
PIBTL,2016,1786092772
PIBTL,2017,1485995900
PIBTL,2018,1485995900
PIBTL,2019,1786092800
PIBTL,2020,1786092772
PIBTL,2021,1798092800
PIBTL,2022,1798092800
PIBTL,2023,1786092800
PIBTL,2024,1786092800
PIBTL,2025,1782815152
PIBTL,2026,1786092772
PICT,2013,109153200
PICT,2014,109153200
PICT,2015,109153200
PICT,2016,109153200
PICT,2017,109153200
PICT,2018,109153200
PICT,2019,109153200
PICT,2020,109153200
PICT,2021,109153200
PICT,2022,109153200
PICT,2023,109153200
PICT,2024,109153200
PICT,2025,109153200
PICT,2026,109153152
PIOC,2013,227148900
PIOC,2014,227148900
PIOC,2015,227148793
PIOC,2016,227148900
PIOC,2017,227148900
PIOC,2018,227148900
PIOC,2019,227148900
PIOC,2020,227148900
PIOC,2021,227148900
PIOC,2022,227148900
PIOC,2023,227148900
PIOC,2024,227148900
PIOC,2025,227148900
PIOC,2026,227148793
PKGP,2013,372081600
PKGP,2014,372081600
PKGP,2015,372081600
PKGP,2016,372081600
PKGP,2017,372081600
PKGP,2018,372081600
PKGP,2019,372081600
PKGP,2020,372081600
PKGP,2021,372081600
PKGP,2022,372081600
PKGP,2023,372081600
PKGP,2024,372081600
PKGP,2025,372081600
PKGP,2026,372081591
PKGS,2013,89386596
PKGS,2014,89386596
PKGS,2015,89386596
PKGS,2016,89386596
PKGS,2017,89386596
PKGS,2018,89386596
PKGS,2019,89386596
PKGS,2020,89386596
PKGS,2021,89386596
PKGS,2022,89386596
PKGS,2023,89383237
PKGS,2024,92472921
PKGS,2025,89374539
PKGS,2026,89379504
PMPK,2013,92639169
PMPK,2014,92639169
PMPK,2015,92639169
PMPK,2016,92639169
PMPK,2017,92639169
PMPK,2018,92639169
PMPK,2019,92639169
PMPK,2020,92639169
PMPK,2021,61576695
PMPK,2022,92639169
PMPK,2023,61556078
PMPK,2024,61533575
