category,symbol,year,field,our,external,ratio,note
UNRESOLVED-UNIT,PPVC,2013,,,,,no unit anchor
UNRESOLVED-UNIT,PPVC,2015,,,,,no unit anchor
UNRESOLVED-UNIT,PRET,2016,,,,,no unit anchor
UNRESOLVED-UNIT,PRET,2022,,,,,no unit anchor
UNRESOLVED-UNIT,PSEL,2013,,,,,no unit anchor
UNRESOLVED-UNIT,PSEL,2014,,,,,no unit anchor
UNRESOLVED-UNIT,PSEL,2015,,,,,no unit anchor
UNRESOLVED-UNIT,RCML,2021,,,,,no unit anchor
UNRESOLVED-UNIT,SPEL,2015,,,,,no unit anchor
UNRESOLVED-UNIT,SPEL,2016,,,,,no unit anchor
UNRESOLVED-UNIT,TATM,2022,,,,,no unit anchor
UNRESOLVED-UNIT,TATM,2023,,,,,no unit anchor
UNRESOLVED-UNIT,TCLTC,2017,,,,,no unit anchor
UNRESOLVED-UNIT,UNITY,2013,,,,,no unit anchor
UNRESOLVED-UNIT,ZAHID,2019,,,,,no unit anchor
UNRESOLVED-UNIT,ZAHID,2020,,,,,no unit anchor
