year,month,Mkt_RF,ME,IA,ROE
2022,5,0.026944,-0.001004,-0.032943,-0.021668
2022,6,-0.022000,0.015145,0.011205,-0.049052
2022,7,0.078607,-0.000245,0.009573,0.007988
2022,8,0.158081,-0.053826,0.029395,-0.029839
2022,9,0.049891,-0.019730,-0.031509,-0.019847
2022,10,0.255681,0.010960,-0.088577,0.009100
2022,11,0.285390,-0.043725,0.013354,0.019596
2022,12,0.105317,-0.034814,0.049443,-0.009408
2023,1,-0.103542,-0.078068,0.021687,-0.038697
2023,2,0.071286,-0.095045,-0.037454,-0.028005
2023,3,-0.059609,0.046215,0.036749,0.041591
2023,4,-0.055721,-0.013422,0.011014,-0.026974
2023,5,0.019504,0.017119,0.029927,-0.043854
2023,6,0.162091,-0.037885,0.017810,-0.019392
2023,7,0.266498,-0.022572,-0.027519,0.027040
2023,8,0.121970,-0.014233,-0.013350,-0.127876
2023,9,0.063693,0.076976,-0.071785,-0.000474
2023,10,-0.037373,-0.005760,-0.104119,-0.044391
2023,11,0.055561,0.002061,0.028099,-0.030656
2023,12,-0.081293,-0.032372,0.038834,0.058345
2024,1,0.130813,0.050027,0.025148,-0.032177
2024,2,0.102919,0.000294,0.040915,-0.056729
2024,3,-0.039762,-0.109784,-0.011162,-0.064912
2024,4,0.038141,0.022064,0.005720,-0.009730
2024,5,-0.046610,0.002018,0.002514,0.038662
2024,6,-0.017353,-0.024829,0.004728,0.019056
2024,7,-0.030307,0.028090,0.019047,-0.029167
2024,8,-0.137584,0.001701,0.021791,-0.086370
2024,9,-0.069663,0.018849,-0.029874,-0.021710
2024,10,-0.082308,0.014329,-0.008819,-0.010944
2024,11,0.019993,-0.027381,0.018159,0.027220
2024,12,-0.028106,-0.006053,0.002136,-0.001032
2025,1,-0.038944,-0.034576,-0.024745,0.026732
2025,2,-0.065683,-0.013403,0.011394,-0.057679
2025,3,0.038167,-0.087888,-0.015841,-0.036364
2025,4,-0.053036,0.051436,0.032838,-0.062201
2025,5,-0.060862,0.072677,0.021642,-0.011357
2025,6,0.026024,-0.008861,-0.010442,-0.042228
2025,7,0.079183,0.051934,0.003722,-0.010608
2025,8,0.039229,-0.000529,0.015926,-0.053048
2025,9,-0.030464,-0.066611,0.003487,-0.011461
2025,10,0.007339,0.021661,0.079163,-0.036780
2025,11,-0.076367,-0.051390,0.028777,0.009841
2025,12,0.059483,-0.113769,-0.064926,0.065563
2026,1,0.173720,-0.182809,0.004483,0.035469
2026,2,-0.034317,-0.007348,0.003562,-0.034076
2026,3,-0.030782,-0.015647,0.015235,-0.019186
2026,4,0.104834,-0.041581,-0.063998,0.018732
2026,5,-0.046925,0.018457,-0.004510,-0.000716
2026,6,0.010342,-0.040474,-0.004219,-0.010904
2026,7,0.043501,-0.114233,-0.031692,0.040805
2026,8,0.003146,-0.012721,0.000510,0.004109
